,Tweet_ID,Score,Twitt_Text,Words
0,1270682351127928837,0.0,"Today’s year 6 #debate was: “if #coronavirus was a character in a book or tv, who would it be?” The winner was Lord Voldemort! What do you think? #islingtonschools  #debating #harrypotter  Islington  ","['today', 'year', '6', 'debate', 'coronavirus', 'character', 'book', 'tv', 'would', 'winner', 'lord', 'voldemort', 'think', 'islingtonschools', 'debating', 'harrypotter', 'islington']"
1,1270683154148397056,0.007954545454545455,"I think I’m going to be hanging in my backyard all summer! It’s taken this pandemic for me to really appreciate it.#ad⠀
⠀
Just because I’ll be home doesn’t mean I don’t need my SPF. I’m stoked for the new organic…  ","['think', 'going', 'hanging', 'backyard', 'summer', 'taken', 'pandemic', 'really', 'appreciate', 'ad', 'home', 'mean', 'need', 'spf', 'stoked', 'new', 'organic']"
2,1270683262319353856,-0.00625,Fighting Stigma : Coronavirus: Massive drop in 'red flag' cancer referrals in Northern Ireland means backlog due ...: The programme reported the figure as the equivalent of every adult and child in a town the size of Donaghadee being suspected of having…  ,"['fighting', 'stigma', 'coronavirus', 'massive', 'drop', 'red', 'flag', 'cancer', 'referral', 'northern', 'ireland', 'mean', 'backlog', 'due', 'programme', 'reported', 'figure', 'equivalent', 'every', 'adult', 'child', 'town', 'size', 'donaghadee', 'suspected']"
3,1270683431257636864,0.0,Govt efforts insufficient to tackle coronavirus crisis: Nepali Congress   #Nepal #Nepali #nepalnews #नेपाल #नेपाली,"['govt', 'effort', 'insufficient', 'tackle', 'coronavirus', 'crisis', 'nepali', 'congress', 'nepal', 'nepali', 'nepalnews']"
4,1270683433057083393,-0.4,Photos: Citizens protest in Nepal citing poor coronavirus care policy   #Nepal #Nepali #nepalnews #नेपाल #नेपाली,"['photo', 'citizen', 'protest', 'nepal', 'citing', 'poor', 'coronavirus', 'care', 'policy', 'nepal', 'nepali', 'nepalnews']"
5,1270683805993459714,-0.125,"When everyone is getting used to wearing a mask because of covid-19, but you've been wearing one for a over a year due to mosquitoes. 
#forestry  #logging #moquitoesoutmaskout #outdoors #uwharrie…  ","['everyone', 'getting', 'used', 'wearing', 'mask', 'covid', '19', 'wearing', 'one', 'year', 'due', 'mosquito', 'forestry', 'logging', 'moquitoesoutmaskout', 'outdoors', 'uwharrie']"
6,1270684018883702784,0.18,"Fighting Stigma: Economic damage of Covid 'could set back a generation': ... could set back a generation of people and more consideration needs to be given to the economic impact compared with health risks, a study says.  ","['fighting', 'stigma', 'economic', 'damage', 'covid', 'could', 'set', 'back', 'generation', 'could', 'set', 'back', 'generation', 'people', 'consideration', 'need', 'given', 'economic', 'impact', 'compared', 'health', 'risk', 'study', 'say']"
7,1270684025720418304,0.4090909090909091,"Fighting Stigma: Prison Service submits best practice paper to WHO after no inmate tests Covid-19 positive: The Irish Prison Service has submitted a paper to the World Health ... Prisons in Northern Ireland, England and South America have been in contact…  ","['fighting', 'stigma', 'prison', 'service', 'submits', 'best', 'practice', 'paper', 'inmate', 'test', 'covid', '19', 'positive', 'irish', 'prison', 'service', 'submitted', 'paper', 'world', 'health', 'prison', 'northern', 'ireland', 'england', 'south', 'america', 'contact']"
8,1270684059669336064,0.15833333333333333,"didn't have the most recent photo during covid19, so I repost maaa old photo🤭

#Repost from elprithansa
#somapalembang
#palembangtime  Soma - Social Market Palembang  ","['recent', 'photo', 'covid19', 'repost', 'maaa', 'old', 'photo', 'repost', 'elprithansa', 'somapalembang', 'palembangtime', 'soma', 'social', 'market', 'palembang']"
9,1270684315752566785,0.25,"Downtown Denver Colorado peaceful protest march Saturday, 2pm, June 6, 2020. Video footage by my daughter 😷 ☮️ ⚖️
.
.
.
.
#handsupdontshoot #protests #icantbreathe #pandemic #peacefulprotests #civilrights…  ","['downtown', 'denver', 'colorado', 'peaceful', 'protest', 'march', 'saturday', '2pm', 'june', '6', '2020', 'video', 'footage', 'daughter', 'handsupdontshoot', 'protest', 'icantbreathe', 'pandemic', 'peacefulprotests', 'civilrights']"
10,1270684651233906689,0.0,"Covid-19 Report 2020 | IPSE 

 ","['covid', '19', 'report', '2020', 'ipse']"
11,1270684655545716736,0.0,"Covid-19 Report 2020 | IPSE 

 ","['covid', '19', 'report', '2020', 'ipse']"
12,1270685032370274305,0.5666666666666667,"*Another Good News From Anantnag District, 40 more patients recovered*

Forty(40) more COVID-19 Patients were discharged today on 10-06-2020 from quarantine centre NTPHC Akura today after their sample reports found…  ","['another', 'good', 'news', 'anantnag', 'district', '40', 'patient', 'recovered', 'forty', '40', 'covid', '19', 'patient', 'discharged', 'today', '10', '06', '2020', 'quarantine', 'centre', 'ntphc', 'akura', 'today', 'sample', 'report', 'found']"
13,1270685630733996032,0.1825,#rainbowchild2020 badge for my little Bug for her #memorybox Not that we need a reminder of #covid19 but a reminder for how amazing and good she has been these last few months with everything that is going on. Thank…  ,"['rainbowchild2020', 'badge', 'little', 'bug', 'memorybox', 'need', 'reminder', 'covid19', 'reminder', 'amazing', 'good', 'last', 'month', 'everything', 'going', 'thank']"
14,1270685841115971585,0.75,"Sooooo...how is your birthday? 🥕💪🏻
Don't forget so swipe ⬅️ to have a look at my parody, Corona 😷🤮 Have a nice one! 🎤🎧
#gym #parody #birthday #birthdayboy #birthdaycake #muscle #singer #celebration #comedy #bicep…  ","['sooooo', 'birthday', 'forget', 'swipe', 'look', 'parody', 'corona', 'nice', 'one', 'gym', 'parody', 'birthday', 'birthdayboy', 'birthdaycake', 'muscle', 'singer', 'celebration', 'comedy', 'bicep']"
15,1270685920686010374,0.17222222222222222,"So this is a #causeandeffect effect video: 
I have been even more motivated to build up my strength in wake of the #covid and  #georgefloyd killing. I will not just lay down with out a fight ... ever I encourage all…  ","['causeandeffect', 'effect', 'video', 'even', 'motivated', 'build', 'strength', 'wake', 'covid', 'georgefloyd', 'killing', 'lay', 'fight', 'ever', 'encourage']"
