,Tweet_ID,Score,Twitt_Text,Words
0,1248456623577649156,-0.15625,CDC says if you drink Corona and you were born in the 19 hundreds then you Covid I mean covered from getting the virus ðŸ˜‚ this beer is essential   Watching replay #spencevspeterson â€¦  ,"['cdc', 'say', 'drink', 'corona', 'born', '19', 'hundr', 'covid', 'mean', 'cover', 'get', 'viru', 'beer', 'essenti', 'watch', 'replay', 'spencevspeterson']"
1,1248457382243356678,0.0,"Corona Virus : COVID-19
100% Solution - Today's Session 
Video will be uploaded in 
YouTube - Sagar Dev Lakhe 

#corona #medition #cosmicenergy #sdlLife #lifeismeaningful #LifeisBeautifulâ€¦  ","['corona', 'viru', 'covid', '19', '100', 'solut', 'today', 'session', 'video', 'upload', 'youtub', 'sagar', 'dev', 'lakh', 'corona', 'medit', 'cosmicenergi', 'sdllife', 'lifeismeaning', 'lifeisbeauti']"
2,1248457493476282371,0.015,"The Corona Workout is a philosophy: progress and gains, work harder, put in the time, use what you have, keep it simple, cardio &amp; weights, high volume - low calorie diet, consistency, stay dressed, no shortcuts,â€¦  ","['corona', 'workout', 'philosophi', 'progress', 'gain', 'work', 'harder', 'put', 'time', 'use', 'keep', 'simpl', 'cardio', 'amp', 'weight', 'high', 'volum', 'low', 'calori', 'diet', 'consist', 'stay', 'dress', 'shortcut']"
3,1248457621331312647,0.0,Corona virus distractor!!  ðŸ˜»ðŸ˜»ðŸ˜»ðŸ˜»ðŸ˜» #furballfarm #catsofinstagram  Furball Farm Pet Sanctuary  ,"['corona', 'viru', 'distractor', 'furballfarm', 'catsofinstagram', 'furbal', 'farm', 'pet', 'sanctuari']"
4,1248458710189363204,-0.25,"I've gain at least 10lbs since this Corona shit...  Vallejo, California  ","['gain', 'least', '10lb', 'sinc', 'corona', 'shit', 'vallejo', 'california']"
5,1248460970181058562,0.1,Because times are anything but mellow. #tulips on Park Ave. #yellow #nikond5100 #clarendon  #ues #nyc #nyclockdownday19 not so much #lockdownfunpics #ny1pic #corona  432 Park Avenue  ,"['time', 'anyth', 'mellow', 'tulip', 'park', 'ave', 'yellow', 'nikond5100', 'clarendon', 'ue', 'nyc', 'nyclockdownday19', 'much', 'lockdownfunp', 'ny1pic', 'corona', '432', 'park', 'avenu']"
6,1248462969962295297,0.0,"OMG! I think I got the Corona Virus... ðŸ˜±ðŸ˜­ðŸ˜²ðŸ˜¥  Riverside, Texas  ","['omg', 'think', 'got', 'corona', 'viru', 'riversid', 'texa']"
7,1248463781606252547,-0.0888888888888889,"Corona got you down?
No friends? No Warcraft guild? No Carhart Velcro dad hats?

What you need is to take 59.5 seconds and listen to a song reminding you about how much you hated your ex :) 

Then remember howâ€¦  ","['corona', 'got', 'friend', 'warcraft', 'guild', 'carhart', 'velcro', 'dad', 'hat', 'need', 'take', '59', '5', 'second', 'listen', 'song', 'remind', 'much', 'hate', 'ex', 'rememb']"
8,1248467312014798848,-0.07777777777777779,"At night these days in Manhattan, one can sit down in the middle of any intersection without interfering with anything or anyoneðŸ˜²#follow #alone #apocalypse #corona #covid #nyc #manhattan #borzoi #mylife #trafficâ€¦  ","['night', 'day', 'manhattan', 'one', 'sit', 'middl', 'intersect', 'without', 'interf', 'anyth', 'anyon', 'follow', 'alon', 'apocalyps', 'corona', 'covid', 'nyc', 'manhattan', 'borzoi', 'mylif', 'traffic']"
9,1248468295218413570,0.006611570247933887,"Past, Present, Future: missing the past, surviving the present, keeping our faith in a better futureðŸ™#past #present #future #borzoi #nyc #corona #covid #mylife #followme  New York, New York  ","['past', 'present', 'futur', 'miss', 'past', 'surviv', 'present', 'keep', 'faith', 'better', 'futur', 'past', 'present', 'futur', 'borzoi', 'nyc', 'corona', 'covid', 'mylif', 'followm', 'new', 'york', 'new', 'york']"
10,1248470919514697728,0.0,"We will overcome #Corona but when will we overcome this? 
.
.
#SwachhKarkalaBrigade #SwachhBharat 
#IndiaFightsCorona #KarkalaAgainstCorona  Karkala  ","['overcom', 'corona', 'overcom', 'swachhkarkalabrigad', 'swachhbharat', 'indiafightscorona', 'karkalaagainstcorona', 'karkala']"
11,1248472592438005760,0.13636363636363635,"COVID19 #corona #workoutmotivation #neworleans #bestfriendgoals #gymbabe  New Orleans, Louisiana  ","['covid19', 'corona', 'workoutmotiv', 'neworlean', 'bestfriendgo', 'gymbab', 'new', 'orlean', 'louisiana']"
